Title;l1Num;QID;Labels
Searching an organization's document repositories for experts provides a cost effective solution for the task of expert finding. We present two general strategies to expert searching given a document collection which are formalized using generative probabilistic models. The first of these directly models an expert's knowledge based on the documents that they are associated with;1;[49848, 43229, 381160, 5447188, 240673, 759676, 381160, 185451, 49848, 486902, 9081, 381160, 49848];['document', 'organization', 'expert', 'solution', 'cost', 'task', 'expert', 'strategy', 'document', 'mathematical model', 'knowledge', 'expert', 'document']
Latent Semantic Indexing (LSI) is a technique for representing documents;1;[1806883, 1432932, 21162272, 49848];['Latent semantic analysis', 'Sumburgh Airport', 'means', 'document']
"We present a novel algorithm that creates document vectors with reduced dimensionality. This work was motivated by an application characterizing relationships among documents in a collection. Our algorithm yielded inter-document similarities with an average precision up to 17.8% higher than that of singular value decomposition (SVD) used for Latent Semantic Indexing. The best performance was achieved with dimensional reduction rates that were 43% higher than SVD on average. Our algorithm creates basis vectors for a reduced space by iteratively &ldquo;scaling&rdquo; vectors and computing eigenvectors. Unlike SVD";1;[8366, 44528, 4440864, 42213, 166142, 223642, 49848, 3052382, 8366, 254465, 19352408, 1241356, 1144560, 11229, 420904, 8366, 44528, 179310, 189569, 4169, 420904];['algorithm', 'Euclidean vector', 'dimension', 'work', 'application', 'interpersonal relationship', 'document', 'fonds', 'algorithm', 'similarity', 'precision', 'record', 'rate', 'percent', 'singular value decomposition', 'algorithm', 'Euclidean vector', 'computing', 'basis', 'outer space', 'singular value decomposition']
Searching online databases requires an information retrieval strategy formalized in the EURISKO expert system. This search strategy is based on different kinds of planning: at the highest level a plan orders a linear and hierarchical planning for the request interrogation and a dynamic planning for the request modification. The recent development of the system has allowed to supply some new judgements on this approach.;1;[7094076, 11028, 58778, 185451, 21146257, 309100, 207988, 1371819, 309100, 327018, 3041974, 1087043, 1395034, 58778, 3769186, 21162272];['online database', 'information', 'system', 'strategy', 'type', 'planning', 'spirit level', 'plan', 'planning', 'interrogation', 'Dynamic Planning', 'modding', 'new product development', 'system', 'judgement', 'means']
A data organization for information retrieval (IR) systems is described which uses the structures imposed on the stored information. Trees are used as the main structure of data as information contents are often hierarchically structured (e.g. classifications;1;[42848, 58778, 816826, 11388, 6671777, 11028, 127332, 5128386];['data', 'system', 'information retrieval', 'infrared radiation', 'structure', 'information', 'Charlotte Brontë', 'classification']
This paper proposes a novel;1;[11472, 8261];['paper', 'novel']
We argue that the ability to identify pairs of related terms is at the heart of what makes spectral retrieval work in practice. Schemes such as latent semantic indexing (LSI) and its descendants have this ability in the sense that they can be viewed as computing a matrix of term-term relatedness scores which is then used to expand the given documents (not the queries). For almost all existing spectral retrieval schemes;1;[1347367, 191290, 1071233, 1072, 42213, 334600, 187560, 1661153, 6495507, 1432932, 17278086, 1347367, 173253, 44337, 187947, 49848, 11169, 959962];['capability', 'ordered pair', 'terminal emulator', 'heart', 'work', 'practice', 'Scheme', 'Indexing', 'latent typing', 'Sumburgh Airport', 'Descendants', 'capability', 'sense', 'matrix', 'partitur', 'document', 'question mark', 'diagram']
We consider the following full-text search autocompletion feature. Imagine a user of a search engine typing a query. Then with every letter being typed;1;[42139305, 278368, 19541, 11169, 9788];['feature', 'user', 'search engine', 'question mark', 'letter']
This paper describes work in progress to develop a facility for natural language access to a variety of computer databases and database systems. This facility;1;[11472, 42213, 1963461, 4688921, 315, 3329375, 68, 176165, 4688921];['paper', 'work', 'OpenEdge Advanced Business Language', 'Affiliated institution', 'language', 'language variety', 'computer', 'database management system', 'Affiliated institution']
We present SETS;1;[1330208];['Stock Exchange of Thailand']
This paper describes a Block Structured Query Language (BSQL) to be used with relational data bases. The syntax of the language is presented and discussed. Facilities of the language are illustrated by examples of actual queries. In particular we demonstrate the ability of BSQL to obtain useful information from a relational data base that is incomplete. A relational calculus is then presented which forms a basis for a formalism which precisely describes the semantics of BSQL. Finally;1;[11472, 845739, 42848, 37437, 315, 4688921, 315, 12335479, 11169, 1347367, 11028, 42848, 1722436, 189569, 3655961, 39645];['paper', 'query language', 'data', 'syntax', 'language', 'Affiliated institution', 'language', 'template', 'question mark', 'capability', 'information', 'data', 'Relational calculus', 'basis', 'formalism', 'semantics']
"We present rpref ; our generalization of the bpref evaluation metric for assessing the quality of search engine results";1;[170084, 865746, 185957, 2995644];['generalization', 'metric function', 'quality', 'result']
